Designator,Mid X,Mid Y,Rotation,Layer
R8,43.418,-81.156,180.0,top
R9_6,87.0966,-25.654,0.0,bottom
R9_5,87.0966,-61.714,0.0,bottom
R9_4,54.8466,-25.654,0.0,bottom
R9_3,54.8466,-61.714,0.0,bottom
R9_2,22.5966,-25.654,0.0,bottom
R9,22.5966,-61.714,0.0,bottom
SW1_6,103.374,-39.612,0.0,bottom
SW1_5,103.374,-75.672,0.0,bottom
SW1_4,71.124,-39.612,0.0,bottom
SW1_3,71.124,-75.672,0.0,bottom
SW1_2,38.874,-39.612,0.0,bottom
SW1,38.874,-75.672,0.0,bottom
U2_6,103.2425,-39.762,90.0,top
U2_5,103.2425,-75.822,90.0,top
U2_4,70.9925,-39.762,90.0,top
U2_3,70.9925,-75.822,90.0,top
U2_2,38.7425,-39.762,90.0,top
U2,38.7425,-75.822,90.0,top
